X;Result of csc(X)
-3.0415926536;-10.0166849133
-2.9415926536;-5.0334893844
-2.8415926536;-3.3838633235
-2.7415926536;-2.5679324444
-2.6415926536;-2.0858296393
-2.5415926536;-1.7710322634
-2.4415926536;-1.5522703529
-2.3415926536;-1.3940078297
-2.2415926536;-1.2766062176
-2.1415926536;-1.1883951074
-2.0415926536;-1.1220733192
-1.9415926536;-1.0729163595
-1.8415926536;-1.0378200379
-1.7415926536;-1.0147651031
-1.6415926536;-1.0025113030
-1.5415926536;-1.0004265783
-1.4415926536;-1.0084052487
-1.3415926536;-1.0268546904
-1.2415926536;-1.0567472368
-1.1415926536;-1.0997501714
-1.0415926536;-1.1584675039
-0.9415926536;-1.2368638814
-0.8415926536;-1.3410124787
-0.7415926536;-1.4804655937
-0.6415926536;-1.6709215450
-0.5415926536;-1.9398590471
-0.4415926536;-2.3398387485
-0.3415926536;-2.9851802222
-0.2415926536;-4.1797400365
-0.1415926536;-7.0861673844
-0.0415926536;-24.0496409023
0.0584073464;17.1308723567
0.1584073464;6.3393172301
0.2584073464;3.9132648021
0.3584073464;2.8507634397
0.4584073464;2.2597826173
0.5584073464;1.8873759691
0.6584073464;1.6343664344
0.7584073464;1.4539825563
0.8584073464;1.3213487007
0.9584073464;1.2220798878
1.0584073464;1.1473471751
1.1584073464;1.0915053279
1.2584073464;1.0508594199
1.3584073464;1.0229863926
1.4584073464;1.0063490523
1.5584073464;1.0000767477
1.6584073464;1.0038501565
1.7584073464;1.0178607940
1.8584073464;1.0428352038
1.9584073464;1.0801297704
2.0584073464;1.1319200077
2.1584073464;1.2015368509
2.2584073464;1.2940553297
2.3584073464;1.4173534414
2.4584073464;1.5841166936
2.5584073464;1.8159183814
2.6584073464;2.1523790509
2.7584073464;2.6746788152
2.8584073464;3.5788994994
2.9584073464;5.4896037172
