X;Result of system(X)
-5.0000000000;-0.0121507315
-4.9000000000;-0.0033312619
-4.8000000000;-0.0003368849
-4.7000000000;0.0000009508
-4.6000000000;0.0007120621
-4.5000000000;0.0048454323
-4.4000000000;0.0156307672
-4.3000000000;0.0366752594
-4.2000000000;0.0722385475
-4.1000000000;0.1276568345
-4.0000000000;0.2100475343
-3.9000000000;0.3295606137
-3.8000000000;0.5017633965
-3.7000000000;0.7525835851
-3.6000000000;1.1297206478
-3.5000000000;1.7331598072
-3.4000000000;2.8165390987
-3.3000000000;5.2724674508
-3.2000000000;16.1033610192
-3.1000000000;-25.0279666746
-3.0000000000;-8.0052445844
-2.9000000000;-5.0293107649
-2.8000000000;-3.7549258050
-2.7000000000;-3.0194551538
-2.6000000000;-2.5191321514
-2.5000000000;-2.1397917796
-2.4000000000;-1.8290797628
-2.3000000000;-1.5597604911
-2.2000000000;-1.3163968953
-2.1000000000;-1.0896939117
-2.0000000000;-0.8738043882
-1.9000000000;-0.6649249180
-1.8000000000;-0.4605056283
-1.7000000000;-0.2587719586
-1.6000000000;-0.0584115005
-1.5000000000;0.1416520460
-1.4000000000;0.3424438687
-1.3000000000;0.5451144765
-1.2000000000;0.7511373238
-1.1000000000;0.9625642270
-1.0000000000;1.1823949220
-0.9000000000;1.4151611169
-0.8000000000;1.6679213105
-0.7000000000;1.9520840324
-0.6000000000;2.2870315615
-0.5000000000;2.7080702824
-0.4000000000;3.2862834140
-0.3000000000;4.1880646177
-0.2000000000;5.9132213955
-0.1000000000;10.9616485893
-0.0000000000;NaN
0.1000000000;5.6245135027
0.2000000000;3.2323961053
0.3000000000;2.1121951714
0.4000000000;1.4423387409
0.5000000000;0.9941770336
0.6000000000;0.6743204752
0.7000000000;0.4363832973
0.8000000000;0.2543415359
0.9000000000;0.1123156139
1.0000000000;NaN
1.1000000000;-0.0896184523
1.2000000000;-0.1614941495
1.3000000000;-0.2192352482
1.4000000000;-0.2655377414
1.5000000000;-0.3024582475
1.6000000000;-0.3315955698
1.7000000000;-0.3542115381
1.8000000000;-0.3713163256
1.9000000000;-0.3837281568
2.0000000000;-0.3921171139
2.1000000000;-0.3970371833
2.2000000000;-0.3989502799
2.3000000000;-0.3982446302
2.4000000000;-0.3952487706
2.5000000000;-0.3902425664
2.6000000000;-0.3834657585
2.7000000000;-0.3751249045
2.8000000000;-0.3653987820
2.9000000000;-0.3544428282
3.0000000000;-0.3423928708
3.1000000000;-0.3293679261
3.2000000000;-0.3154726815
3.3000000000;-0.3007996879
3.4000000000;-0.2854308156
3.5000000000;-0.2694387512
3.6000000000;-0.2528883945
3.7000000000;-0.2358375745
3.8000000000;-0.2183380205
3.9000000000;-0.2004363271
4.0000000000;-0.1821741790
4.1000000000;-0.1635893111
4.2000000000;-0.1447156674
4.3000000000;-0.1255839119
4.4000000000;-0.1062219696
4.5000000000;-0.0866550397
4.6000000000;-0.0669059858
4.7000000000;-0.0469957734
4.8000000000;-0.0269433532
4.9000000000;-0.0067659795
5.0000000000;0.0135204161
