X;Result of tan(X)
-1.4707963268;-9.9666444238
-1.3707963268;-4.9331548273
-1.2707963268;-3.2327281322
-1.1707963268;-2.3652224212
-1.0707963268;-1.8304877209
-0.9707963268;-1.4616959467
-0.8707963268;-1.1872418397
-0.7707963268;-0.9712145997
-0.6707963268;-0.7935511483
-0.5707963268;-0.6420926161
-0.4707963268;-0.5089681056
-0.3707963268;-0.3887795697
-0.2707963268;-0.2776156479
-0.1707963268;-0.1724767258
-0.0707963268;-0.0709148443
0.0292036732;0.0292119782
0.1292036732;0.1299274642
0.2292036732;0.2333035336
0.3292036732;0.3416353512
0.4292036732;0.4576575530
0.5292036732;0.5848478071
0.6292036732;0.7278957778
0.7292036732;0.8934844690
0.8292036732;1.0916860441
0.9292036732;1.3386481641
1.0292036732;1.6622433983
1.1292036732;2.1153830126
1.2292036732;2.8127034666
1.3292036732;4.0583526062
1.4292036732;7.0152520876
