X;Result
-3.1415926536;-0.0000000224
-3.0415926536;-0.0998334288
-2.9415926536;-0.1986693372
-2.8415926536;-0.2955202100
-2.7415926536;-0.3894183440
-2.6415926536;-0.4794255394
-2.5415926536;-0.5646424521
-2.4415926536;-0.6442176765
-2.3415926536;-0.7173560856
-2.2415926536;-0.7833269071
-2.1415926536;-0.8414709836
-2.0415926536;-0.8912073595
-1.9415926536;-0.9320391018
-1.8415926536;-0.9635581926
-1.7415926536;-0.9854497331
-1.6415926536;-0.9974949879
-1.5415926536;-0.9995736035
-1.4415926536;-0.9916648106
-1.3415926536;-0.9738476236
-1.2415926536;-0.9463000850
-1.1415926536;-0.9092974259
-1.0415926536;-0.8632093664
-0.9415926536;-0.8084964037
-0.8415926536;-0.7457052159
-0.7415926536;-0.6754631815
-0.6415926536;-0.5984721443
-0.5415926536;-0.5155013719
-0.4415926536;-0.4273798785
-0.3415926536;-0.3349881500
-0.2415926536;-0.2392493292
-0.1415926536;-0.1411200083
-0.0415926536;-0.0415806624
0.0584073464;0.0583741434
0.1584073464;0.1577456946
0.2584073464;0.2555411020
0.3584073464;0.3507832274
0.4584073464;0.4425204408
0.5584073464;0.5298361409
0.6584073464;0.6118578912
0.7584073464;0.6877661604
0.8584073464;0.7568025000
0.9584073464;0.8182771110
1.0584073464;0.8715757721
1.1584073464;0.9161659357
1.2584073464;0.9516020707
1.3584073464;0.9775301091
1.4584073464;0.9936910039
1.5584073464;0.9999232582
1.6584073464;0.9961646103
1.7584073464;0.9824526162
1.8584073464;0.9589242829
1.9584073464;0.9258146821
2.0584073464;0.8834546551
2.1584073464;0.8322674409
2.2584073464;0.7727644847
2.3584073464;0.7055403196
2.4584073464;0.6312666258
2.5584073464;0.5506855431
2.6584073464;0.4646021804
2.7584073464;0.3738766667
2.8584073464;0.2794155019
2.9584073464;0.1821625115
3.0584073464;0.0830894163
